call_id,selected_domain,raw_domain,gender,accent,duration_seconds,duration_minutes,is_over_5_minutes,audio_path
APPTEK_BANKING_0047,banking,banking,male,en-GB_WLS,636.158,10.6,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0047.wav
APPTEK_BANKING_0048,banking,banking,female,en-GB_WLS,636.158,10.6,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0048.wav
APPTEK_BANKING_0049,banking,banking,female,en-GB_WLS,630.947,10.52,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0049.wav
APPTEK_BANKING_0050,banking,banking,male,en-GB_WLS,630.947,10.52,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0050.wav
APPTEK_BANKING_0051,banking,banking,female,en-GB_WLS,607.632,10.13,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0051.wav
APPTEK_BANKING_0052,banking,banking,female,en-GB_WLS,607.631,10.13,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0052.wav
APPTEK_HEALTHCARE_0029,healthcare,health,male,en-GB_WLS,419.568,6.99,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0029.wav
APPTEK_HEALTHCARE_0030,healthcare,health,female,en-GB_WLS,419.568,6.99,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0030.wav
APPTEK_HEALTHCARE_0031,healthcare,health,female,en-GB_WLS,678.217,11.3,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0031.wav
APPTEK_HEALTHCARE_0032,healthcare,health,unknown,en-GB_WLS,678.216,11.3,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0032.wav
APPTEK_HEALTHCARE_0033,healthcare,health,male,en-GB_WLS,599.426,9.99,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0033.wav
APPTEK_HEALTHCARE_0034,healthcare,health,female,en-GB_WLS,599.426,9.99,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0034.wav
APPTEK_HEALTHCARE_0035,healthcare,health,female,en-GB_WLS,399.273,6.65,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0035.wav
APPTEK_HEALTHCARE_0036,healthcare,health,male,en-GB_WLS,399.274,6.65,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0036.wav
APPTEK_TELECOMMUNICATIONS_0027,telecommunications,telecom,female,en-GB_WLS,518.796,8.65,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0027.wav
APPTEK_TELECOMMUNICATIONS_0028,telecommunications,telecom,male,en-GB_WLS,518.795,8.65,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0028.wav
APPTEK_TELECOMMUNICATIONS_0029,telecommunications,telecom,female,en-GB_WLS,616.111,10.27,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0029.wav
APPTEK_TELECOMMUNICATIONS_0030,telecommunications,telecom,female,en-GB_WLS,616.11,10.27,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0030.wav
APPTEK_BANKING_0053,banking,banking,female,en-US_Aave,916.214,15.27,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0053.wav
APPTEK_BANKING_0054,banking,banking,female,en-US_Aave,916.214,15.27,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0054.wav
APPTEK_BANKING_0055,banking,banking,female,en-US_Aave,633.209,10.55,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0055.wav
APPTEK_BANKING_0056,banking,banking,female,en-US_Aave,633.208,10.55,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0056.wav
APPTEK_BANKING_0057,banking,banking,female,en-US_Aave,861.099,14.35,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0057.wav
APPTEK_BANKING_0058,banking,banking,female,en-US_Aave,861.099,14.35,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0058.wav
APPTEK_HEALTHCARE_0037,healthcare,health,female,en-US_Aave,447.984,7.47,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0037.wav
APPTEK_HEALTHCARE_0038,healthcare,health,female,en-US_Aave,447.985,7.47,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0038.wav
APPTEK_HEALTHCARE_0039,healthcare,health,female,en-US_Aave,914.957,15.25,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0039.wav
APPTEK_HEALTHCARE_0040,healthcare,health,female,en-US_Aave,914.957,15.25,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0040.wav
APPTEK_HEALTHCARE_0041,healthcare,health,female,en-US_Aave,757.132,12.62,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0041.wav
APPTEK_HEALTHCARE_0042,healthcare,health,female,en-US_Aave,757.132,12.62,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0042.wav
APPTEK_TELECOMMUNICATIONS_0031,telecommunications,telecom,male,en-US_Aave,745.609,12.43,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0031.wav
APPTEK_TELECOMMUNICATIONS_0032,telecommunications,telecom,female,en-US_Aave,745.609,12.43,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0032.wav
APPTEK_TELECOMMUNICATIONS_0033,telecommunications,telecom,female,en-US_Aave,914.447,15.24,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0033.wav
APPTEK_TELECOMMUNICATIONS_0034,telecommunications,telecom,female,en-US_Aave,914.447,15.24,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0034.wav
APPTEK_TELECOMMUNICATIONS_0035,telecommunications,telecom,female,en-US_Aave,824.786,13.75,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0035.wav
APPTEK_TELECOMMUNICATIONS_0036,telecommunications,telecom,female,en-US_Aave,824.786,13.75,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0036.wav
APPTEK_BANKING_0059,banking,banking,female,en-ZA,308.26,5.14,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0059.wav
APPTEK_BANKING_0060,banking,banking,male,en-ZA,308.26,5.14,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0060.wav
APPTEK_BANKING_0061,banking,banking,female,en-ZA,616.588,10.28,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0061.wav
APPTEK_BANKING_0062,banking,banking,female,en-ZA,616.588,10.28,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0062.wav
APPTEK_BANKING_0063,banking,banking,male,en-ZA,653.551,10.89,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0063.wav
APPTEK_BANKING_0064,banking,banking,female,en-ZA,653.552,10.89,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0064.wav
APPTEK_BANKING_0065,banking,banking,male,en-ZA,504.427,8.41,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0065.wav
APPTEK_BANKING_0066,banking,banking,female,en-ZA,504.427,8.41,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0066.wav
APPTEK_BANKING_0067,banking,banking,female,en-ZA,533.649,8.89,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0067.wav
APPTEK_BANKING_0068,banking,banking,female,en-ZA,533.649,8.89,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0068.wav
APPTEK_HEALTHCARE_0043,healthcare,health,female,en-ZA,460.786,7.68,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0043.wav
APPTEK_HEALTHCARE_0044,healthcare,health,male,en-ZA,460.787,7.68,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0044.wav
APPTEK_HEALTHCARE_0045,healthcare,health,female,en-ZA,791.887,13.2,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0045.wav
APPTEK_HEALTHCARE_0046,healthcare,health,female,en-ZA,791.888,13.2,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0046.wav
APPTEK_HEALTHCARE_0047,healthcare,health,unknown,en-ZA,319.874,5.33,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0047.wav
APPTEK_HEALTHCARE_0048,healthcare,health,female,en-ZA,319.875,5.33,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0048.wav
APPTEK_HEALTHCARE_0049,healthcare,health,male,en-ZA,445.791,7.43,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0049.wav
APPTEK_HEALTHCARE_0050,healthcare,health,female,en-ZA,445.791,7.43,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0050.wav
APPTEK_HEALTHCARE_0051,healthcare,health,female,en-ZA,629.044,10.48,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0051.wav
APPTEK_HEALTHCARE_0052,healthcare,health,female,en-ZA,629.045,10.48,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0052.wav
APPTEK_TELECOMMUNICATIONS_0037,telecommunications,telecom,female,en-ZA,580.636,9.68,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0037.wav
APPTEK_TELECOMMUNICATIONS_0038,telecommunications,telecom,male,en-ZA,580.636,9.68,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0038.wav
APPTEK_TELECOMMUNICATIONS_0039,telecommunications,telecom,female,en-ZA,616.368,10.27,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0039.wav
APPTEK_TELECOMMUNICATIONS_0040,telecommunications,telecom,female,en-ZA,616.367,10.27,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0040.wav
APPTEK_TELECOMMUNICATIONS_0041,telecommunications,telecom,male,en-ZA,479.195,7.99,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0041.wav
APPTEK_TELECOMMUNICATIONS_0042,telecommunications,telecom,female,en-ZA,479.196,7.99,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0042.wav
APPTEK_TELECOMMUNICATIONS_0043,telecommunications,telecom,female,en-ZA,561.887,9.36,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0043.wav
APPTEK_TELECOMMUNICATIONS_0044,telecommunications,telecom,female,en-ZA,561.887,9.36,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0044.wav
APPTEK_TELECOMMUNICATIONS_0045,telecommunications,telecom,male,en-ZA,1054.762,17.58,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0045.wav
APPTEK_TELECOMMUNICATIONS_0046,telecommunications,telecom,female,en-ZA,1054.762,17.58,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0046.wav
APPTEK_BANKING_0069,banking,banking,female,en-US_General,614.0,10.23,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0069.wav
APPTEK_BANKING_0070,banking,banking,male,en-US_General,614.0,10.23,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0070.wav
APPTEK_BANKING_0071,banking,banking,female,en-US_General,550.0,9.17,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0071.wav
